instrumento;cantidad;precio;moneda;total
CEDEAR Bono Rep. Argentina Usd Step (AL41C);70;67240;USD;47,07
CEDEAR Bioceres Crop Solutions (BIOXC);7;500;USD;3,50
CEDEAR Bitfarms Ltd. (BITFC);18;11120;USD;200,16
Bopreal Serie 1C Vto 31/10/2027 (BPC7C);1;98380;USD;0,98
Bopreal Serie 1D Vto 31/10/2027 (BPD7C);1;98200;USD;0,98
Distribuidora De Gas Cuyana (DGCU2);240;1156;USD;277,34
Bonos Rep. Arg. U$S Step Up 2030 (GD30C);10;60650;USD;6,07
CEDEAR Globant S.A. (GLOBC);63;2480;USD;156,24
CEDEAR Mercadolibre Inc. (MELIC);2;14670;USD;29,34
CEDEAR Merck & Co Inc. (MRKC);8;22000;USD;176,00
CEDEAR Nvidia Corporation (NVDAC);459;7710;USD;3538,89
CEDEAR Oklo Inc. (OKLOC);58;0;USD;0,00
CEDEAR Spdr S&P 500 (SPYC);2;34640;USD;69,28
Telecom Argentina (TECO2);95;2252;USD;213,91
ARS;0;0;ARS;2926,20
USD;0;0;USD;3,73
