objetivos.id,objetivos.inc_pares,objetivos.inc_ppp,objetivos.periodo_mes,objetivos.periodo_year,objetivos.periodo,objetivos.fecha_modif
1,0.3,0.3,1,2017,20171,2017-03-15 08:39:33
2,0.3,0.3,2,2017,20172,2017-03-15 08:41:01
3,0.3,0.3,3,2017,20173,2017-03-15 08:41:12
4,0.3,0.3,4,2017,20174,2017-04-06 17:38:40
5,0.3,0.3,2,2016,20162,2017-04-23 20:15:58
6,0.3,0.3,5,2017,20175,2017-05-02 09:27:50
7,0.3,0.3,12,2016,201612,2017-05-02 18:13:01
8,0.3,0.3,6,2017,20176,2017-06-01 18:17:45
9,0.3,0.3,5,2016,20165,2017-06-22 20:29:35
10,0.3,0.3,6,2016,20166,2017-06-28 19:41:29
11,0.3,0.3,7,2017,20177,2017-07-01 09:56:02
12,0.3,0.3,7,2016,20167,2017-07-04 18:56:13
13,0.3,0.3,8,2017,20178,2017-08-01 09:22:40
14,0.3,0.3,8,2016,20168,2017-08-03 15:47:49
15,0.3,0.3,4,2016,20164,2017-08-11 09:07:53
16,0.3,0.3,9,2017,20179,2017-09-01 00:00:44
17,0.3,0.3,10,2017,201710,2017-10-01 01:50:53
18,0.3,0.3,11,2017,201711,2017-11-01 00:06:16
19,0.3,0.3,12,2017,201712,2017-12-01 02:22:45
20,0.3,0.3,1,2018,20181,2018-01-02 00:48:54
