objetivos_fijos.id,objetivos_fijos.id_sucursal,objetivos_fijos.pares,objetivos_fijos.monto,objetivos_fijos.periodo_mes,objetivos_fijos.periodo_year,objetivos_fijos.periodo
1,5,2427,1512500.0,3,2017,520173
2,5,1586,1250000.0,4,2017,520174
3,5,1971,1250000.0,5,2017,520175
4,5,2320,1550000.0,7,2017,520177
5,5,2320,1280991.0,8,2017,520178
6,3,1250,449900.0,8,2017,320178
7,5,2450,1352400.0,9,2017,520179
8,3,1275,457980.0,9,2017,320179
9,5,2556,1438224.0,10,2017,5201710
10,3,1311,472109.0,10,2017,3201710
11,5,2556,1438224.0,11,2017,5201711
12,3,1311,472109.0,11,2017,3201711
13,3,2642,765621.0,12,2017,3201712
14,5,3065,1729139.0,12,2017,5201712
15,6,3171,1208374.0,12,2017,6201712
16,5,2556,1438224.0,6,2017,520176
17,5,3065,1729139.0,1,2017,520171
18,3,2642,765621.0,1,2018,320181
19,5,3065,1729139.0,1,2018,520181
20,6,3171,1208374.0,1,2018,620181
