objetivos_otros.id,objetivos_otros.inc_pares,objetivos_otros.inc_ppp,objetivos_otros.periodo_mes,objetivos_otros.periodo_year,objetivos_otros.periodo,objetivos_otros.fecha_modif
1,0.5,0.5,5,2017,20175,2017-05-05 19:45:35
2,0.5,0.5,8,2017,20178,2017-08-01 10:46:57
3,0.5,0.5,9,2017,20179,2017-09-01 16:48:08
4,0.5,0.5,10,2017,201710,2017-10-20 20:21:44
5,0.5,0.5,11,2017,201711,2017-11-01 00:06:16
6,0.5,0.5,12,2017,201712,2017-12-01 02:22:45
7,0.5,0.5,6,2017,20176,2017-12-12 08:11:34
8,0.5,0.5,1,2017,20171,2017-12-25 21:01:08
9,0.5,0.5,12,2016,201612,2017-12-29 17:11:31
10,0.5,0.5,1,2018,20181,2018-01-02 00:48:54
